numeroTarjeta,numeroCuenta,moneda,saldo
5133270968652550,LI89 3206 9SEO VLZ3 7V0T N,Naira,0.68
201980564212744,SE78 2580 5429 8740 3372 1495,Zloty,7.67
502030273033340060,DO90 WXSX 3667 6340 5678 0428 4034,Real,7.80
3541613899549190,AT11 3655 8249 1496 9034,Yuan Renminbi,2.48
3531987672075439,FO32 2576 0716 1576 50,Peso,8.01
3563375304948457,HU14 3571 2120 8854 3944 3633 1508,Pound,4.84
3589875145986772,PK22 VGDB 8RK4 ALQ9 8YT2 P6JD,Manat,2.91
30168838508538,FR21 3994 3775 02ZO 2D8V G8EP U25,Dong,5.57
337941705364833,IS67 5590 3257 8007 7131 1095 95,Yuan Renminbi,0.50
372301943251498,CZ93 5179 7948 5752 3955 0488,Ruble,2.29
5501272960469870,FR74 5423 7481 15MC PNDT WBPJ H81,Rupiah,6.39
3550548854523251,VG96 CHVH 8851 9814 9415 4304,Bolivar,2.89
349333455492244,SK43 9081 9921 0173 5859 6204,Peso,7.09
4508031235645615,AT21 5718 6225 3437 1642,Rupiah,0.10
4936669942452653021,BR93 6367 7782 7122 8161 2607 366D M,Peso,0.44
4405857890640895,AZ52 TVGZ PIQD MAWX QZM5 I4LT 20KP,Peso,8.14
3534085357562412,AZ30 LGPP IVVM CYUN 764K FJRT 4Q7Z,Yuan Renminbi,1.04
676261260122100218,LI37 7183 9WIX WWX5 DZHR M,Dinar,1.09
3588499975882265,AL05 4666 2643 XB7G 9DAJ TJ5J FOGW,Euro,8.13
30003110850490,PS77 FACU 1X4H ACAC AGM6 BWD3 BIFL X,Rupee,3.94
3562022591777865,SE80 4136 7620 2220 7280 1556,Yuan Renminbi,0.15
6334726379491990,PS06 CVIM NVRP 6XAW XMIE NR1X XBAL P,Euro,2.94
5108751912160254,LT36 2217 5458 7661 1259,Tenge,9.21
3571930771600187,IL40 7452 2899 9342 4709 540,Tenge,0.75
3557049909232900,RS44 3458 6015 7124 5239 40,Peso,3.94
5610533415610436,RS93 2957 9357 5193 8215 28,Ruble,8.19
3543552494843459,HU52 1498 9881 9314 8091 0592 9509,Real,2.32
6331103401815005,FR30 9801 7976 76PC MNUQ UWA0 A50,Real,8.32
201472041449354,FO06 2800 1417 0479 96,Ruble,0.74
5602254733290237,SI21 4263 8701 0550 522,Euro,6.00
372563746585766,FR66 3217 4658 03EJ 6L1T DHHP R96,Rupiah,4.15
4295593087523,BE96 1184 0166 0301,Dong,6.85
6379501565331649,CY38 9299 1084 DXN6 5QYJ THBD 1VDC,Rupiah,3.41
560222370024927933,LU54 049S GNMU X122 D5SH,Hryvnia,2.71
3543973484661323,LV84 KFRE ASBI EDWD SXJO P,Ringgit,2.77
493631379866103759,RS34 4184 1676 1970 2086 57,Won,3.79
30079056766973,MR88 4522 4854 7854 4352 1587 798,Yuan Renminbi,9.30
5602235918643928,HU75 8304 8864 5726 8381 7969 6074,Hryvnia,1.09
4041377524566,DK81 5223 3622 1624 46,Yuan Renminbi,8.58
3531365339782491,FR09 4199 5886 53TN 9JIA NKZZ K46,Franc,9.29
6304984754768609,SE66 9455 1044 5916 2517 2632,Dong,4.39
6333608487857786,MU97 QGZG 1000 1674 7297 2295 271M RM,Zloty,2.82
345095672281973,AZ90 ZTLY WIOV EL4H HUDF KAVQ RWCB,Franc,3.35
3574199137350880,FR30 8247 8943 80RN Q4KF RYEA 326,Franc,9.46
3586438916405648,BH46 ZESZ Z4RG XOR9 GBG1 5P,Real,3.49
3555845253720610,BA54 9394 2090 1688 7962,Baht,2.57
6371774316196649,CY95 8556 1542 ALHP DM1V ORUO WLCF,Rupiah,5.22
3568584095579307,PT59 8914 6102 5427 2840 7433 6,Peso,4.19
3575409647859927,FR40 5269 5017 065K QECK AB9P D23,Yuan Renminbi,8.49
6709890106442189658,LV92 BGFI QDJK ET22 QELR S,Colon,4.53
5010121566133824,NO59 3497 3312 700,Yuan Renminbi,5.57
3549693017505201,GE62 EY70 8543 3500 4525 61,Yuan Renminbi,1.58
36884393552521,FR37 1496 9471 00IV U5U7 QZEF Q78,Real,4.25
490596096869134073,FR09 0393 7913 71ST HMF6 CPSZ T54,Krona,6.97
3539918782988072,BH94 LETV TKEX 6NEC NNLL 5U,Yuan Renminbi,4.93
5002358760431683,FR40 3673 4216 56NZ Z9SG 3QKI R48,Rupee,4.86
3564142765657137,CH40 0850 3XDI JPYO ID9I M,Ruble,4.92
6304279495335751117,NO26 7571 3075 256,Euro,4.91
5108752381257605,LT72 8795 9931 1617 9620,Ruble,8.60
201801146951577,BH43 LEWZ 8NDA OKNH 3CIK MB,Yuan Renminbi,6.87
3554452349215845,LB62 8866 VNJR RHNE QPVZ HU54 F587,Real,1.20
5235168699052735,KZ09 729W CZSZ SK8Q J2PP,Peso,0.12
3580336006315881,EE54 4593 3845 7606 5430,Peso,8.42
4508671137793532,IS59 0230 2692 6857 0662 3452 77,Rupee,3.55
3579873063729482,TR17 5166 7P6R H0MJ 7IUD 0JFC M5,Euro,1.69
374622407754695,BA79 6918 4686 1297 0797,Tenge,0.61
201609991825584,GE72 MT39 3002 5875 1931 75,Yuan Renminbi,3.37
50207187752423708,LB71 3543 DBIM 9TTW FD4L MS1N LS6Z,Yuan Renminbi,6.78
3529250618401191,ES21 5715 3043 6622 6200 9982,Euro,0.41
4451589646232,NL47 UJFC 3617 0007 00,Yuan Renminbi,4.41
6709205281455341,SI95 3768 9026 3013 463,Ruble,2.30
3576186980088426,HR55 1695 9097 3076 4275 6,Rial,3.33
6763797236697350332,KW04 UDEG MB5O M6RN ITB0 ZM1I LUHT XT,Ruble,3.35
5010125140689045,EE03 2355 3114 1347 1669,Zloty,5.42
337941500039200,LV90 HPVP GP75 1ALE UALR Y,Peso,0.48
30392836850847,HR68 1067 8342 2927 6764 5,Dollar,8.59
4041371953472,IS18 3536 8661 0616 2782 7369 07,Koruna,2.79
3558737104355034,IE78 XLOZ 3424 8149 3131 51,Rupiah,5.11
3546976441444466,LT16 3150 7734 7936 7922,Peso,0.85
201883314484888,FR74 1568 7241 92CU W8NK GH8M M41,Yuan Renminbi,0.03
4508336637074730,CZ82 3156 0380 5617 0832 5301,Yuan Renminbi,1.13
6331100235943080246,BA69 3562 1800 5504 7623,Won,3.85
3545819438956517,FO54 7097 4147 6901 89,Pula,6.63
36682370704135,GR04 0011 3400 T1RF JBGS SF7J QJR,Rupiah,3.95
3537384416525081,DO37 KA3H 8237 5236 0231 3943 0065,Yuan Renminbi,1.20
3534096858409094,FR48 4207 7909 342A WBAD BEXW Y29,Yen,7.87
675993327398934427,AE07 0843 2308 9287 2627 335,Yuan Renminbi,4.74
676142495430872554,FO16 7943 1382 6515 18,Yuan Renminbi,6.19
201830540251961,LB29 7114 XEWO UMVT F5PX ZNRY OAWY,Yuan Renminbi,1.71
6761858952936416342,PL62 6243 9694 7725 2510 1272 1045,Yuan Renminbi,4.15
5610768085666838739,FR35 1429 9161 62VJ DQYM 0U5M 203,Ruble,3.42
374288017566703,SM14 A676 5310 826F XW2N NBR5 66D,Yen,5.75
201917508539105,PS14 ORQK RFKP QQBL WGBF CP3W JYFW 1,Euro,5.19
30415598213217,GI53 NPAH QRYM PTE0 O0TV UOJ,Rupee,7.46
5100170032178104,LU21 085D O3R2 XP3T XPNC,Yuan Renminbi,1.46
374283110690286,GE21 DQ49 1290 3288 6635 37,Euro,2.98
3545581256082285,AL41 1623 9309 MCYP DMAX ZGPW AC7J,Real,6.73
3544478796448574,FR66 2364 1341 33SH NJUA BK9U P80,Quetzal,5.80
5100134700763076,BE02 3406 1737 3327,Peso,0.60
6304358142387935750,TN12 6588 9041 7310 8332 1089,Rial,2.94
4917258707832604,GE37 CS40 1947 6719 3031 51,Ruble,2.92
490370280286250777,GR24 7108 731S LROJ HMCV NZRZ UJZ,Real,5.17
5532574802658583,IT17 P628 7636 8552 TGHF WHIZ Y93,Dong,7.04
3546878597885205,KW92 CPWA YKG5 T6PK QLFI ZEO9 3DUI MT,Rand,7.52
6761610320551749810,SM03 B863 9327 0976 TBKX XYNE TWG,Ruble,7.71
4017950922849,EE86 2173 0313 8327 4168,Rupiah,9.05
6304563873568353,SA44 49HC E8OF PIS7 J3UL 3FTB,Birr,4.36
3557295668508069,SK86 5844 6279 3654 5308 2582,Yuan Renminbi,8.19
6771934863318444,FR56 7123 8133 736Z RSUK Z6SW 990,Rupiah,9.43
3585719903623355,LV35 XSHW WZU7 IMQY QFUG F,Franc,1.38
3586542701874098,DE12 0965 5913 8324 5316 78,Euro,4.45
5602234365225859,FR53 5612 1437 85ZF BBOC EEVR G43,Koruna,3.91
3544932201175602,SM80 U430 2656 107N NM65 KU4L ZNV,Ruble,8.20
3575691571255848,IE39 ZEOA 1478 6559 9309 85,Real,3.63
4917633695730129,PL32 6325 8385 2085 7842 3228 0926,Dollar,5.67
676241641759123398,AL32 3444 7731 RIJL 6ANO JNZQ X20L,Dong,8.31
201910191510475,FR65 8352 4644 461M FRDE 4GNR T17,Euro,8.86
3569404839987501,GB63 ZBDE 4716 9939 9496 71,Pound,0.78
503882990571014156,BE13 7502 1144 0282,Yuan Renminbi,1.76
3556183860788252,SA87 67SM HZYN MJAX BTVX PYUS,Euro,9.51
3562932993989571,AL80 8361 9564 7PEZ EPAO K8ZE EUDY,Real,3.16
374622038573845,PT90 8758 8239 8446 1970 7432 7,Ruble,1.12
501841304317730071,BH73 ZGWP C0EW TKD5 W620 AP,Dong,4.85
3577925758145408,DO61 DRHP 5641 6460 2719 4620 0865,Rial,8.11
5007663975166833,GR54 6994 650K UUIN PVIZ HQA4 YVP,Peso,0.76
3569279960263231,FR27 2429 9605 76S7 NEB8 P91I B98,Peso,1.95
3584264466709714,RS05 5291 2741 1558 5120 94,Euro,3.50
4041595576356,AZ96 JYCR ABNH CKX8 B237 CK3R QXYM,Ruble,1.58
6762230319231110581,GR92 9233 981F Q1RR SHAI KIZ7 S0M,Zloty,5.92
4844553402359079,RO91 CNDZ BV2X 78TN 0O4T Y8PS,Euro,6.19
3580802026218710,SE61 8437 0558 9018 7469 6156,Euro,3.32
6304071159279125,FR47 6604 3229 81SG IVKZ ONOC 015,Yuan Renminbi,0.97
201520622268054,DO55 CYMM 0415 9562 8183 9612 1394,Shekel,8.00
372301480281569,FR39 2728 0583 31FG PNQB UKAV 911,Dram,6.18
3576704442664558,VG36 FXEL 4876 8339 4374 3116,Peso,7.29
4041376205746,NL09 BEZX 4088 9879 57,Euro,4.63
56022532396208470,FR53 1858 3234 23MC 0QJX ZUXT 564,Rupiah,8.94
3540706911078825,HU31 6816 9900 6825 7836 6946 4846,Yuan Renminbi,6.70
3537809888907243,AL26 1838 4464 XZQ9 1LN0 B2QD C0ZM,Rupiah,7.73
3588872431189600,MD30 HJS9 VTS0 2E9N FUBF RKW5,Ruble,8.72
3538001872831527,DO79 TVRR 6946 0228 9147 8065 5450,Franc,4.06
5440751833128106,FR39 1038 7139 76YI BRGO 98QS O55,Cordoba,8.42
6763679457537814419,FR07 6981 4049 58BB EFX2 OBAJ B87,Dollar,5.95
3539167598468842,FI68 9608 0844 1160 16,Yuan Renminbi,8.15
3559136375896363,FR85 7436 0588 12HV JBKI VHKQ G33,Euro,8.30
3545461705046035,GE43 ZC95 0081 3061 2535 63,Ruble,9.39
4175004833570537,FR72 6987 2416 32JC IG5R VWRG N76,Rupiah,8.94
5602242818242629,IT63 T956 6691 309S 5UUY HR3W IIO,Rupiah,0.02
5602221184856238,FR48 7871 2793 14LF OX47 8UDB Y62,Rupiah,3.47
630438559630105709,VG34 IWBF 6111 8029 3347 2291,Yuan Renminbi,8.39
3534126068098005,FR19 1557 5031 38B7 H8YL ITCG T32,Real,3.65
493685957699026654,CH08 7891 2KBW VDRT 0FND B,Rupiah,6.14
3589717188436812,RS79 4877 6472 2342 5577 34,Ruble,0.53
201907500147726,FR65 6049 9310 113W HDWB I2NI 234,Peso,7.67
30141229407222,RO21 XKMS 4CMM VZYJ QNOU 56HK,Koruna,7.82
6385149047790651,GE81 VY70 7172 4469 4810 52,Rupiah,5.50
3551116060658607,LT61 5274 8845 8857 0221,Peso,4.19
30540967569798,GR02 1659 094V X9HE QQAH RXOX AZO,Rand,5.09
503864312204001587,MK43 934S GV7R NHOO 584,Dollar,9.31
5100177530462609,AZ58 TBSZ UZZY DA5A MU1Y QJIG D4RQ,Rupiah,4.81
30111899343916,CR02 1240 9742 2938 9120 8,Ruble,4.73
3536393947115917,LI13 8816 6HBX BVUX LOZ6 3,Yuan Renminbi,9.98
30556825479228,TN43 0912 4459 3500 8103 3112,Koruna,2.75
4017959294093943,FR93 9360 3307 11Y9 NMH4 6R7E E27,Rupiah,0.24
3585931037226035,LU71 308U NNKU 8TXU US4Y,Sol,2.20
6706834314385366,SE58 7268 3063 9753 9071 0541,Sol,8.62
4175003823860213,GR50 0648 396H 45IM 3GLO WIKF AHW,Som,6.33
3582689492602040,AT90 2436 1946 2347 6518,Euro,7.81
374283546261959,GB09 WMDS 3618 6545 1107 10,Rupiah,0.37
3555600991912700,CY45 6923 3385 YYTY KBIX GDAO VV3C,Ruble,5.81
3579428711935336,LB41 7554 TCEI 8NAL VO24 1TB8 TZZS,Rupiah,6.24
3576112884404089,BE56 3473 3492 8972,Baht,9.81
67626953352769361,LU26 1019 4DJK VA9E IIN2,Tugrik,1.59
560223648138697990,IL28 0096 7895 9202 7611 389,Krona,9.12
3542661052942503,HU65 3450 4032 3128 0544 7268 9748,Peso,8.29
5370657166520559,VG89 EZUB 9668 4370 2096 1196,Rupiah,9.81
6304682992938271668,FR22 6748 5305 45NH APRD PZWK P87,Yuan Renminbi,3.57
3565489512917994,LV95 ZBIH R3CK BEEW KPJJ R,Peso,1.36
3535383218239505,FR72 0320 0014 63SB IY65 U8L0 877,Rupiah,7.34
4175001595127456,FR97 1565 8376 041C 0NNR DYGC O23,Ruble,1.55
30077473694398,GR69 7261 070O ZP0U FBHS K7ZY FYH,Rupiah,0.17
30544630271659,VG38 LVOF 3221 0682 7943 6723,Rupiah,1.92
4017959369916747,DO28 LXOW 5954 4288 1175 5650 7959,Pound,4.41
4903195405700350,GL94 1929 8556 0445 54,Lempira,0.95
6333586744560054482,LU21 637L 72LZ YKM5 HINY,Dinar,5.69
3532610551857987,LI47 8880 7TJ9 ZWGZ IS6Z I,Shekel,8.54
3587795539292110,NO58 4398 5894 670,Kuna,6.79
374622710902916,LU20 065Q KWCK 9PMF ZHYJ,Baht,0.21
3553088535854426,GE47 VE22 9780 0401 4063 82,Peso,5.17
5602233430017796,BA39 3083 3566 7157 4267,Real,2.87
5602255378732805,ME40 6428 5514 5172 7524 26,Real,9.12
4917394835346603,GB53 RRRT 9008 5712 7779 34,Rupee,8.50
3565011088308778,TN96 6968 9217 9303 6251 6097,Yuan Renminbi,2.86
3534714546035200,FR91 5017 9434 11ZV D8HP XQRF W91,Yen,7.04
3562817983438434,CZ82 9735 1495 6325 4312 8795,Peso,6.47
3546586550460185,FO75 3037 0629 0776 60,Baht,8.97
5602239717208099,RS63 5005 4061 7618 7054 05,Euro,5.17
201407882639648,DK65 5097 1521 6354 60,Yuan Renminbi,4.27
3567782522587510,HR29 6509 5389 4330 1914 6,Peso,5.10
3567383343135215,FR20 7610 3572 12YZ NMLL UY6S J47,Yuan Renminbi,0.83
3589278706214603,DO78 ELRH 9511 0046 1836 9902 7311,Rial,9.93
491119452091690299,GT34 TNH7 XB3E LSXN FIX7 YW1Y NAZI,Peso,2.21
3571839921889154,BA17 4338 5102 4683 3499,Cordoba,8.44
5602221297572201,DO88 7BXO 3532 6073 2287 9747 8281,Euro,4.79
3552248646218553,PK95 AIFL D21S D2XV GWTV FLFF,Hryvnia,2.59
343867521907087,FR94 1829 5117 99WF R4LY NMZH F91,Dollar,8.44
201651774825530,SK42 8185 0978 5367 4124 7795,Yuan Renminbi,8.21
5602244288360659,HU25 2143 2253 2219 8386 6163 5940,Franc,0.63
3538403108582009,MR38 0895 6201 9973 7690 9128 624,Peso,8.55
3544472535833733,BH48 GMLI CLEY BZBD LTFT CP,Baht,2.82
560223338446264937,CZ68 8859 1913 9831 0421 9026,Dirham,7.89
3546302070792028,FR07 9726 4963 02OC XKUI 3XSE K37,Yuan Renminbi,2.86
374288870818498,CY80 1815 3449 5C7S XFCQ XHCU D0L0,Peso,3.90
201719118935628,FR03 1161 6495 57FD 223M GJIA N94,Ruble,6.46
3538175508961104,FR43 0816 2431 51BE MIJQ 4VHM Y55,Zloty,7.67
4844705009341633,SA46 56KT BGIM LFZI RJQW JEXW,Euro,4.24
633426160522625017,FR33 8881 1904 43F2 KMVF FFV2 636,Sol,2.27
633390878495100815,IS26 8730 6766 9809 2001 3917 62,Yen,9.20
3561502922095625,BG46 HWMO 6866 12O5 UEC1 6O,Krona,3.23
3555247158048140,PK20 ZIXD INAK RZFG MRX5 TQQM,Yuan Renminbi,7.52
56022411546554218,FR88 0434 9952 19C8 1ADO G2ZL H07,Yuan Renminbi,5.17
6334262758618667581,CH86 8321 4XOD U3BT LM7A N,Yuan Renminbi,6.32
6394452367205212,DO17 W4VH 9557 1656 2090 3702 5889,Zloty,0.88
30158113795215,NL24 EXQA 0313 2737 41,Marka,4.23
3572258748268071,CH23 3657 3L6A ORZ9 IJW2 H,Franc,5.45
3556069467502461,SK27 5119 3125 9522 4159 9629,Ruble,8.12
3586418594335705,FR25 4565 5727 38SX BLEQ 0VM5 656,Krona,1.52
5100142782485708,MC64 6269 4072 162L JTED ZF39 O36,Dinar,5.81
201443511397191,MT72 GMTU 0825 5TLL JFXY SYJM Y1SA SCS,Dollar,0.57
3587840465049215,LT58 0388 5119 2692 2018,Zloty,5.60
30217344957091,FR91 9011 9800 74MY XGPR JBB5 660,Sol,3.47
5002351750958898,EE22 5996 2661 9460 1785,Peso,4.64
3557144999775973,PT40 1477 7314 5627 2918 2390 5,Rial,4.58
201418581264778,FR13 5940 7547 53AL FMNK 8DEH K86,Dollar,1.21
5038494570792168,SM36 I648 6304 770V NXDV JDCG PUB,Real,6.22
5546908971772987,SA22 33QG P6AH PSA0 DPAV C2LC,Dirham,2.97
501892016126297187,ES40 3399 6175 8329 7125 1360,Yuan Renminbi,5.51
5610928381535098,FO48 7127 2683 1953 40,Euro,3.60
4936397800208748421,CZ80 2655 3799 1423 5945 8505,Ruble,7.79
30103708150442,LI98 9971 1PQG CNO1 ROQV Z,Rupiah,3.87
633110307628123568,KW45 IBZU BCLS 7ESL HDQU VBRN FVWH B9,Rupiah,1.47
630427579191235946,TR80 8251 0IX2 RXZP WZQZ RLNW QK,Pound,2.00
4903029623287225145,SM69 I230 8263 815A ITUQ SXAQ 72H,Ruble,0.81
3556529514542463,SA96 49AU EFQL RDX7 AEJL HRAR,Rupiah,5.25
4041379512486,SK06 3283 9589 0754 1913 3478,Ruble,6.59
3545420019264049,FR98 9108 1333 98MT 30JO IMDK O78,Rupiah,7.92
564182767440779485,ES75 5057 1777 5012 3287 4147,Zloty,9.16
201896227065545,SI61 2637 6405 8209 188,Won,0.62
4913331442528722,RO50 FVLD 3TUS VFHQ GBMK 6CU2,Ruble,6.00
3531048211139580,LI08 8178 8YDD 7XUC 7FHG K,Yuan Renminbi,1.86
6761576710881470438,GT14 M87E MJLR 9I9N 03X3 J0XP Y5LQ,Yuan Renminbi,2.05
6771473351042697628,BH21 PBMT G8TO T4H2 N12K 3R,Peso,3.73
5448823296111432,CR71 8075 7246 2855 3554 3,Afghani,5.70
374283913284089,MK73 525F TDEV VMY4 B57,Dollar,7.59
36540294024453,SA72 26LZ JS6S XLUA SKK1 3E6A,Rupiah,1.79
3582976045401727,TR09 0641 0B6K 6FIH MWGE LEQD EL,Euro,8.11
3564490236505454,GB71 NHOV 3024 4320 8811 40,Ruble,1.52
67623399925403240,ES11 8778 3767 1078 0867 1757,Quetzal,7.07
4175004990777347,GT14 DLWF UCIV D05V HOS7 MVSL JJAX,Yen,4.60
3537305457475068,FO65 1560 1233 8851 70,Ruble,5.55
5100175536601949,GE30 IA70 2849 8731 8560 72,Pound,2.90
3581637262050198,SI31 2147 1262 9239 366,Ruble,6.77
3571386447680766,EE61 1165 9115 8527 8780,Rupiah,8.11
